SAMPLE	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
wes_15.sample_16	UTRs_norm	3101804739	49244280	49244280	1	68907292	68907292	64168065	1	0.931223	58874747	0.917509	6267276003	862046148	460291703	4944938152	862046148	0.210991	0.789009	0.651911	17.505508	18.647686	0.116918	0.116918	8.663839	0.147509	?	0.350655	0.231417	0.201115	0.177755	0.155618	0.133799	0.054895	45732735	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_17	UTRs_norm	3101804739	49244280	49244280	1	65577194	65577194	61559918	1	0.93874	56061663	0.910684	5967124439	850299575	458014481	4658810383	850299575	0.219254	0.780746	0.64992	17.266971	18.7035	0.121181	0.121181	8.975642	0.169769	?	0.322139	0.23171	0.20068	0.176575	0.153973	0.131894	0.054189	53228991	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_18	UTRs_norm	3101804739	49244280	49244280	1	77768386	77768386	71461441	1	0.918901	65095592	0.910919	6925584444	939697749	506223019	5479663676	939697749	0.20878	0.79122	0.649896	19.082374	20.401159	0.112928	0.112928	8.546542	0.151213	?	0.352649	0.23487	0.205139	0.182739	0.162234	0.142152	0.063796	43398988	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_2	UTRs_norm	3101804739	49244280	49244280	1	58583202	58583202	55068109	1	0.939998	50700130	0.92068	5397257988	718100893	388505711	4290651384	718100893	0.205031	0.794969	0.648922	14.582422	15.734847	0.114559	0.114559	8.38052	0.16575	?	0.332211	0.225831	0.190216	0.161338	0.134722	0.110798	0.03946	44340761	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_60	UTRs_norm	3101804739	49244280	49244280	1	70445920	70445920	64278968	1	0.912458	59030977	0.918356	6281582436	864868691	464070810	4952642935	864868691	0.211561	0.788439	0.650796	17.562825	18.750607	0.114739	0.114739	8.672409	0.150683	?	0.348185	0.229548	0.199879	0.17712	0.155791	0.13481	0.05614	35825213	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_61	UTRs_norm	3101804739	49244280	49244280	1	71200768	71200768	64777018	1	0.90978	59225129	0.914292	6304999370	917766847	495537593	4891694930	917766847	0.224156	0.775844	0.649377	18.637024	20.133727	0.120466	0.120466	9.168662	0.167606	?	0.323147	0.230191	0.201827	0.18024	0.160224	0.140691	0.063496	37866733	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_66	UTRs_norm	3101804739	49244280	49244280	1	66703334	66703334	62204672	1	0.932557	56276327	0.904696	5988960617	848124405	458919516	4681916696	848124405	0.218242	0.781758	0.648887	17.2228	18.647742	0.118831	0.118831	8.920039	0.169413	?	0.326558	0.233008	0.200335	0.174863	0.151582	0.129747	0.054185	48342249	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_67	UTRs_norm	3101804739	49244280	49244280	1	73283224	73283224	68095787	1	0.929214	62577332	0.91896	6669287498	984223592	529823753	5155240153	984223592	0.227018	0.772982	0.650061	19.986557	21.796552	0.125518	0.125518	9.295505	0.175628	?	0.318318	0.241499	0.211106	0.188226	0.167351	0.147263	0.06829	52142370	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_21	UTRs_norm	3101804739	49244280	49244280	1	63245214	63245214	56201429	1	0.888627	50466371	0.897955	6245362719	737460316	443925153	5063977250	737460316	0.189162	0.810838	0.624233	14.975553	15.847386	0.093283	0.093283	7.437717	0.135666	?	0.386846	0.220121	0.182856	0.153735	0.127697	0.10466	0.040494	23289380	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00277	UTRs_norm	3101804739	49244280	49244280	1	46928194	46928194	45715598	1	0.974161	43752889	0.957067	5403662823	722538699	473786499	4207337625	722538699	0.221392	0.778608	0.603965	14.672541	15.75759	0.123173	0.123173	8.422316	0.154669	?	0.362614	0.24761	0.212711	0.18375	0.155806	0.128194	0.029877	90637216	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00278	UTRs_norm	3101804739	49244280	49244280	1	55250094	55250094	53675257	1	0.971496	51460402	0.958736	6366462701	871046921	576397075	4919018705	871046921	0.227355	0.772645	0.601783	17.688286	18.900472	0.126124	0.126124	8.617911	0.147998	?	0.369098	0.254311	0.223605	0.199443	0.176676	0.153645	0.053083	98980268	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00279	UTRs_norm	3101804739	49244280	49244280	1	57938680	57938680	56821237	1	0.980713	54578800	0.960535	6771484123	933648828	610081145	5227754150	933648828	0.227975	0.772025	0.604801	18.959539	20.003378	0.128915	0.128915	8.684771	0.126053	?	0.402362	0.266602	0.234556	0.210441	0.188003	0.165339	0.058809	160293446	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00281	UTRs_norm	3101804739	49244280	49244280	1	66470286	66470286	60308162	1	0.907295	54603196	0.905403	6741794606	730854117	430735189	5580205300	730854117	0.172297	0.827703	0.629185	14.841401	15.476589	0.087962	0.087962	6.82832	0.109925	?	0.443768	0.214851	0.179101	0.150848	0.125529	0.102892	0.039599	27048187	-1	-1	-1	-1	-1	-1	0	0			
